1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1
0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1
0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1
1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0
0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0
0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1
# Matrix Index: 1 | Task: Filtered(80%) | Connected: True | P(1): 0.4412 | Attempts: 3258
1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0
0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1
1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0
0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0
1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0
0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
# Matrix Index: 2 | Task: Filtered(80%) | Connected: True | P(1): 0.4243 | Attempts: 1915
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0
0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
